Year,Inflation,pop_growth,CPI,Trade(%ofGDP),Imports_of_goods_and_services(annual%growth),Gross_national_expenditure(%ofGDP),External _debt _stocks(%ofGNI),Wholesale_price_index,Food_Production_index,World_Crude_oil_rates($),UnemploymentRate(%oftotallaborforce),AdolescentFertilityRate,AgeDependencyRatio(%ofWorking-agePopulation),UrbanPopulationGrowth(annual%),TotalReserves(%ofTotalExternalDebt),ExportsOfGoodsAndServices(annual%growth),AdjustedSavingsGrossSavings(%ofGNI)
1980,11.9,4.085149646,11.94,35.8968993,4.004601485,110.7153075,42.49130542,7.597501335,26.57,36.87,4.01,108.459,87.24046188,5.343661508,15.78632326,19.50688334,16.62047356
1981,11.9,4.178102012,11.88,35.16801104,-20.89206195,109.4976204,38.00773015,8.424857361,28.23,35.48,3.82,109.241,86.35822987,5.290682702,13.75441887,18.24684092,17.63399858
1982,5.9,3.759574402,5.9,31.3222832,-0.473206704,110.9415441,38.49539899,8.780850535,29.27,32.65,3.82,107.979,86.22826071,4.598187266,15.48853498,-5.984815186,17.80732039
1983,6.4,3.462200721,6.36,34.69196212,11.10697253,110.3250116,42.54216937,9.427897644,30.2,29.66,3.9,106.734,86.57347499,4.297308485,22.30833268,24.57253416,19.15091658
1984,6.1,3.135091607,6.09,33.36263286,7.232582373,110.5733179,39.82120141,10.31082658,30.87,28.56,3.8,105.319,87.37791483,3.970155471,13.17010806,-3.69210037,17.29767406
1985,5.6,3.16928342,5.61,33.17074617,8.916550394,112.0383686,43.95056238,10.61089484,31.71,27.18,3.7,107.214,88.14506594,4.00083798,10.61603495,-0.360031031,14.8389888
1986,3.5,3.380571891,3.51,32.40673078,-2.461336572,107.8142856,47.84582996,11.13355582,34.39,14.35,3.3,109.122,88.62773917,4.208649905,9.79556613,32.80837916,19.28421516
1987,4.7,3.409439196,4.68,32.8971019,1.991929004,105.2782722,51.44270452,12.05243182,35.54,18.15,3.1,110.796,89.06041803,4.234069895,8.577589423,11.98963795,20.83301057
1988,8.8,3.361485824,8.84,33.28422583,-3.404947098,105.5665698,45.33923067,13.22732265,36.12,14.72,3.1,109.809,89.51850262,4.186017264,6.989057737,-4.31256943,17.77941227
1989,7.9,3.26806216,7.84,34.42165912,8.322199168,106.2777933,46.70883267,14.3442065,38.96,17.84,3.1,108.757,90.03589932,4.085852839,7.097414315,13.77469376,17.62271369
1990,9.1,3.343048542,9.05,35.0345759,-3.499597528,105.4571391,52.93146165,15.57830035,40.03,22.88,3.1,104.425,90.35247226,4.160748439,5.06417494,1.124973794,18.47887219
1991,12.6,3.306453451,11.79,35.4196551,-7.396928131,101.4971585,52.55318707,17.44887647,41.28,19.37,5.9,101.484,90.6055379,4.120764108,5.220971911,33.46522988,21.92565573
1992,4.8,2.862542071,9.51,37.69453972,30.84312491,103.1393818,52.34281638,18.71293728,43.24,19.02,5.9,98.279,91.32371203,3.67349213,6.114823874,13.82098063,22.04192173
1993,9.8,2.772505532,9.97,38.49931688,14.84435797,106.0781334,48.81117298,20.6303559,46.41,16.84,4.7,97.543,91.93531088,3.580123308,8.127571119,1.317358073,16.6114259
1994,11.3,2.892696578,12.37,35.05772371,-10.78933994,102.7195399,54.04296583,24.69912207,48.03,15.89,4.8,94.434,92.11536412,3.697013943,13.56595542,3.110662868,19.71992768
1995,13,2.890311732,12.34,36.13275367,3.969776919,102.7128144,51.38610353,27.85365158,51.63,17.18,5.4,88.234,92.0050934,3.691349236,8.357980249,-3.075315016,17.632154
1996,10.8,2.91068987,10.37,38.33012683,13.59345562,104.5239233,48.65438831,30.94181632,52.34,20.42,5.4,86.583,91.50139178,3.711595397,4.379972643,1.994558492,16.10739697
1997,11.8,2.828270348,11.38,36.8522661,-3.78525671,104.6883597,49.95286672,34.40903129,53.35,19.17,6.1,82.819,90.76521984,3.622812093,5.962805478,-6.535973068,16.62294923
1998,7.8,2.761285673,6.23,34.01172518,-5.621130039,101.0421428,53.98241656,36.39501766,56.26,13.06,5.9,81.051,89.87489853,3.491272659,5.031465146,-5.729972087,18.04589045
1999,5.7,2.721937104,4.14,32.31996281,-5.401425839,101.6129642,55.89735484,37.78592409,57.77,18.07,5.9,79.332,88.94802576,3.327740265,6.19322258,-2.850317059,17.19602963
2000,3.6,2.824759835,4.37,21.45996933,-2.250046794,102.2007179,33.97105485,39.29028398,59.13,28.23,7.8,76.597,87.82656636,3.429946535,6.303771758,16.01600127,19.54758509
2001,4.4,2.796158309,3.15,23.57720884,4.407980781,102.3248643,34.07668024,41.08130663,59.21,24.35,7.8,72.66,86.57736222,3.394690431,13.0318188,13.34942149,21.1373414
2002,3.5,2.45080309,3.29,23.1290206,-2.353346074,100.6030731,35.89883556,42.30698956,60.47,24.93,8.3,69.189,85.54495289,3.051766592,25.62817423,13.1280605,21.96349584
2003,3.1,2.353916139,2.91,24.65016612,10.77721235,100.3208785,33.62099861,45.08051888,63.12,28.9,8.3,67.159,84.44008644,2.95128872,31.90199344,25.84721717,22.12408756
2004,4.6,2.468091176,7.44,24.80834087,7.970685158,101.962407,28.40885162,48.88895731,65.29,37.73,7.7,64.181,83.00376288,3.064878521,29.0197323,-1.353847151,22.77667346
2005,9.3,2.403773504,9.06,29.878498,35.05089473,105.3748201,24.21055262,53.15355496,68.43,53.39,7.7,60.998,81.49892194,2.997019593,32.1282818,17.58932824,20.16417038
2006,7.9,2.382005287,7.92,33.04971214,11.45047088,107.9518278,23.69501811,57.66976827,69.45,64.29,6.2,58.675,80.10002498,2.974677427,34.13792252,11.11064556,18.30158754
2007,7.8,2.642031252,7.6,30.78788045,0.11436151,107.537734,23.59588741,62.41456916,73.3,71.12,5.2,58.053,78.61639017,3.234119066,37.08077652,3.060358704,17.56170915
